"Study_ID","pval","DEBIAS","phenotype"
10959,0.122163340534421,"1","cancer"
11129,0.510765065560629,"1","diabetes type 1"
11210,0.184473679084625,"1","bmi"
11635,0.00230229396789329,"1","nafld"
11710,7.57008379617428e-10,"1","schizophrenia"
11993,0.256412978058583,"1","obesity"
13010,0.475464998654517,"1","helminths"
13187,0.0620664183343713,"1","bipolar disorder"
13338,0.00189567221252587,"1","HIV"
13631,0.396794526951616,"1","autism"
13652,0.0593259922571337,"1","autism"
13695,0.0442958843810983,"1","autism"
14130,2.67103093619956e-05,"1","cancer"
14669,0.866581604602347,"1","cancer"
15006,0.496368066593216,"1","Celiac"
10959,2.38863945581526e-07,"0","cancer"
10959,2.14797350979785e-21,"0.5","cancer"
11129,0.29617758347287,"0.5","diabetes type 1"
11129,0.259608838670783,"0","diabetes type 1"
11210,0.459086573047949,"0","bmi"
11210,3.39741535916315e-06,"0.5","bmi"
11635,0.00523214787159684,"0.5","nafld"
11635,0.0109570931172932,"0","nafld"
11710,0.0109822177668048,"0","schizophrenia"
11710,1.54790524012694e-12,"0.5","schizophrenia"
11993,0.0436535667698677,"0","obesity"
11993,8.74604193134077e-08,"0.5","obesity"
13010,0.95259099159617,"0","helminths"
13010,0.0325625421522283,"0.5","helminths"
13187,0.000302515521343294,"0","bipolar disorder"
13187,2.91426143833038e-05,"0.5","bipolar disorder"
13338,0.166566562274243,"0","HIV"
13338,0.0047206585816911,"0.5","HIV"
13631,0.969057467326124,"0","autism"
13631,6.48445756848015e-08,"0.5","autism"
13652,7.69416444944379e-05,"0","autism"
13652,1.49110502450322e-05,"0.5","autism"
13695,0.872766236041427,"0","autism"
13695,0.00446588518803123,"0.5","autism"
14130,3.43311114276425e-07,"0.5","cancer"
14130,1.63104646320255e-06,"0","cancer"
14669,0.634103971726536,"0","cancer"
14669,0.458829449741111,"0.5","cancer"
15006,0.846700674241821,"0","Celiac"
15006,0.160775716798388,"0.5","Celiac"
