,13631,13652,13695
X.Bacteroides..pectinophilus.group,0.0,-2.4363377,-2.3375466
X.Clostridium..innocuum.group,-3.5846426,-4.3272934,-0.35290396
X.Eubacterium..brachy.group,-3.8532481,-1.9391826,0.37265772
X.Eubacterium..eligens.group,-1.6028359,-3.247831,-1.5182239
X.Eubacterium..fissicatena.group,-2.4592211,-2.1121924,1.9692637
X.Eubacterium..hallii.group,0.7495205,-0.061237928,2.152202
X.Eubacterium..nodatum.group,2.193248,2.106699,7.131251
X.Eubacterium..oxidoreducens.group,0.0,0.5041106,0.009765866
X.Eubacterium..ruminantium.group,1.200173,1.0752995,1.7704954
X.Eubacterium..siraeum.group,2.3970616,1.8681192,3.5186567
X.Eubacterium..ventriosum.group,-3.2484562,-4.1417565,0.036365725
X.Eubacterium..xylanophilum.group,-6.5110135,-2.423577,0.0
X.Ruminococcus..gauvreauii.group,-6.946106,0.0,0.0
X.Ruminococcus..gnavus.group,-2.3446848,-2.86514,1.3035282
X.Ruminococcus..torques.group,-3.0347888,-4.218797,-0.97234356
A2,-6.7410774,-4.099849,0.0
Abiotrophia,3.1739879,5.0335703,7.5452757
Acetanaerobacterium,2.7018192,3.9483612,4.7206664
Acetatifactor,-7.072214,0.0,0.0
Achromobacter,0.2487562,0.0,0.0
Acidaminococcus,-2.6086578,-2.4024553,-0.92476636
Acidovorax,-2.7404745,0.0,0.0
Acinetobacter,-3.2809832,-1.1667725,-2.5167127
Actinobacillus,2.905914,-1.9600639,-1.043923
Actinomyces,1.6963866,3.5234578,0.24436991
Actinotalea,-7.929304,0.0,0.0
Adlercreutzia,-7.6514792,-7.6070137,0.0
Aeromonas,-0.867855,0.0,0.0
Agathobacter,-2.408574,2.2054195,0.56707764
Aggregatibacter,0.2030841,-0.8697388,1.3420222
Akkermansia,-0.104933724,-1.4244146,2.5498476
Alistipes,-2.1453395,-3.6461499,-1.2511551
Alkanindiges,-5.8635097,0.0,0.0
Allisonella,0.91724354,1.1968632,5.183571
Allobaculum,0.22163251,0.0,0.0
Alloprevotella,3.8365128,4.638571,3.8116536
Ammoniphilus,-1.5347712,0.0,0.0
Amnipila,-7.6269655,0.0,0.0
Anaerococcus,0.0,0.0,-1.5028396
Anaerofilum,3.1768622,2.2820961,5.260886
Anaerofustis,-7.32479,0.0,0.0
Anaeroglobus,2.8575573,0.0,-0.67695564
Anaeroplasma,0.0,-3.3518906,-3.480286
Anaerosphaera,0.0,0.0,-4.436783
Anaerostignum,-3.706657,-4.1319976,-0.033020448
Anaerostipes,-2.7776933,-3.1899116,-0.5971482
Anaerotruncus,0.22559336,-0.74938935,4.0052814
Anaerovorax,7.7449803,1.1441793,-0.64163774
Angelakisella,1.0591073,-0.7952466,3.7062016
Anoxybacillus,2.597361,0.0,2.475121
Aquamicrobium,-7.6824374,0.0,0.0
Asaccharospora,0.0,0.0,-1.5871811
ASF356,6.0652523,-3.189435,-0.32785326
Asteroleplasma,0.0,-0.62708694,-6.0367837
Atopobium,6.710503,5.825221,5.117036
Azospirillum,-7.99209,0.0,0.0
Bacteroides,-1.0177841,-2.841354,-0.665296
Barnesiella,2.8255856,2.2140915,3.6544306
Bauldia,-7.399369,0.0,-0.8021259
Bergeyella,4.529707,0.0,0.0
Bifidobacterium,-1.3352407,-3.4180212,-1.4242003
Bilophila,0.06678352,-1.6150341,0.831804
Blastocatella,0.0,0.0,-2.5757089
Blautia,-2.1942093,-4.0640173,-2.0976958
Blvii28.wastewater.sludge.group,-7.6824374,0.0,0.0
Bordetella,0.0,-2.0307295,0.0
Brachymonas,-8.139237,0.0,0.0
Brevundimonas,-4.662112,0.0,0.0
Brucella,-7.3908443,0.0,0.0
Butyricicoccus,-1.7084631,-3.4863038,-0.35263905
Butyricimonas,0.6366317,-1.1173508,1.8387539
Butyrivibrio,1.4654458,0.0,0.9066041
CAG.352,-1.697458,-1.6620395,0.7108824
CAG.56,-6.5282216,0.0,1.3190571
Caldicoprobacter,0.0,-3.8450375,0.0
Campylobacter,7.032671,3.7971163,4.1077685
Candidatus.Bacilloplasma,3.0287998,0.0,0.0
Candidatus.Methanogranum,0.0,-2.9793947,0.0
Candidatus.Paracaedibacter,-7.6824374,0.0,0.0
Candidatus.Soleaferrea,3.4736717,4.4375453,6.6711946
Candidatus.Stoquefichus,5.0127745,3.2339373,6.614439
Caproiciproducens,5.3351398,-0.27552927,4.074297
Cardiobacterium,4.4137044,0.0,0.0
Castellaniella,-7.6824374,0.0,0.0
Catabacter,-5.5276327,0.0,-1.6265357
Catenibacillus,-6.4140105,0.0,0.0
Catenibacterium,5.171564,3.8184462,2.8100166
Catonella,-5.240511,0.0,-3.5618448
Caulobacter,0.0,0.0,-4.6631126
Cavicella,-6.9109635,0.0,0.0
Cedecea,0.0,-6.9640775,0.0
Cellulosilyticum,-1.0430584,-1.876986,0.0
Centipeda,-5.3088703,-3.3183348,0.0
Cetobacterium,0.9774503,0.97637963,2.9867873
CHKCI002,0.39564896,-3.432573,0.044625517
Christensenella,-6.623677,-3.8851795,0.0
Christensenellaceae.R.7.group,-0.5911783,-1.6273365,-0.31655648
Chryseobacterium,-2.9585652,0.0,-3.029762
Citrobacter,-7.119708,-6.865263,0.0
Cloacibacillus,0.0,-4.9795694,-4.259447
Cloacibacterium,0.21877073,0.0,0.0
Clostridioides,-2.3431003,0.0,2.9776192
Clostridium.sensu.stricto.1,-1.6442488,-0.4847526,1.1671478
Clostridium.sensu.stricto.13,1.0199021,0.0,0.0
Clostridium.sensu.stricto.16,3.639681,0.0,0.0
Clostridium.sensu.stricto.2,0.0,-7.2677875,-2.1914237
Clostridium.sensu.stricto.4,0.0,-5.945512,-0.8944444
CM1G08,0.0,-4.650098,0.0
Colidextribacter,-2.9066398,-4.108369,-0.5610771
Collinsella,-1.5323355,-3.7278197,-0.43067783
Comamonas,2.012494,1.1222432,2.2523913
Companilactobacillus,0.0,-4.4342427,0.0
Coprobacillus,0.0,-6.1028447,-3.2412374
Coprobacter,-2.2687984,-3.0039415,0.012410288
Coprococcus,-6.540083,-0.6853425,0.0
Coriobacteriaceae.UCG.002,-7.2020907,-3.9812338,0.0
Coriobacteriaceae.UCG.003,0.0,-3.1829088,-0.7963511
Corynebacterium,-5.681899,0.0,-3.5045466
Cronobacter,0.0,-3.203461,-3.8250647
Cruoricaptor,0.0,0.0,-2.5648947
Cryptobacterium,0.0,-1.3970048,0.0
Cuneatibacter,-4.131142,0.0,0.0
Cutibacterium,0.0,0.0,-6.364756
Dechlorobacter,-1.6470462,0.0,0.0
Defluviitaleaceae.UCG.011,1.7868267,1.358589,1.7691779
Delftia,2.1251671,0.0,0.0
Denitromonas,-3.6679196,0.0,0.0
Desulfomonile,-8.070837,0.0,0.0
Desulfovibrio,-3.249742,-3.9860694,-0.95617634
Dialister,-0.18594429,-1.2109085,-0.71650267
Dielma,1.7768292,2.9341881,3.8285139
Dorea,-2.5413592,-3.9885058,-1.2949651
DTU089,2.896622,2.665857,6.2979546
Dubosiella,-8.2589,0.0,0.0
