,10959,14130,14669
X.Anaerorhabdus..furcosa.group,0.0,0.0,1.0259242
X.Aquaspirillum..polymorphum.group,0.20806514,0.0,0.0
X.Bacteroides..pectinophilus.group,-1.5015141,-0.531036,0.0
X.Clostridium..innocuum.group,2.9755588,2.6313734,1.8715918
X.Eubacterium..brachy.group,3.6976504,0.5397305,-1.5731324
X.Eubacterium..eligens.group,1.4707155,1.5897217,1.6262136
X.Eubacterium..fissicatena.group,2.3969226,0.9736476,-1.184672
X.Eubacterium..hallii.group,0.6291687,1.0756823,-0.3638737
X.Eubacterium..nodatum.group,3.2845771,0.21248515,-1.8976393
X.Eubacterium..oxidoreducens.group,-1.1789018,0.0,0.4975832
X.Eubacterium..ruminantium.group,-0.39371908,0.5253822,0.32167065
X.Eubacterium..saphenum.group,0.697581,0.0,0.0
X.Eubacterium..siraeum.group,0.15988314,0.5867556,0.2365464
X.Eubacterium..ventriosum.group,0.486418,0.3567198,-0.21429129
X.Eubacterium..xylanophilum.group,-0.32718387,1.1019831,-1.0450181
X.Ruminococcus..gauvreauii.group,-0.29071155,0.75645363,-0.36262214
X.Ruminococcus..gnavus.group,1.6981117,0.59249693,1.0037838
X.Ruminococcus..torques.group,0.403744,-0.10298431,-0.096018784
X28.4,0.47141922,0.0,0.0
A2,0.09530833,0.0,0.0
Abiotrophia,2.4953282,1.7445663,0.0
Acetanaerobacterium,4.399516,1.4836031,-0.931276
Acetatifactor,0.29873875,0.0,0.0
Acetobacter,4.3513017,1.5625745,0.0
Achromobacter,-1.1412101,0.0,-2.2282956
Acidaminococcus,2.1508164,-1.6128192,0.11920621
Acidibacter,0.5968379,0.0,0.0
Acinetobacter,0.06430887,-0.27519515,0.16819142
Actimicrobium,0.0,0.0,0.30951932
Actinobacillus,0.80601835,1.0601571,0.0
Actinomyces,2.070673,1.5113057,-0.6702048
Adlercreutzia,4.3352304,0.06730869,-1.9827577
ADurb.Bin063.1,3.401484,0.9864644,0.0
Aeribacillus,0.18708137,0.0,0.0
Aerococcus,1.4437428,0.0,0.560945
Aeromonas,0.33778393,0.0,-0.32552722
Aerosphaera,0.46381474,0.0,-1.992929
Agathobacter,-0.12718044,0.18758674,-0.297517
Aggregatibacter,2.8301582,1.7387989,2.741304
Akkermansia,1.3426386,0.31916082,0.6454797
Alcaligenes,0.27691907,0.0,0.0
Alishewanella,-0.023403358,0.0,0.0
Alistipes,0.5671435,-0.6529086,-0.43810293
Alkanibacter,0.3236009,0.0,0.0
Allisonella,0.0725649,-0.87947124,1.6101078
Allobaculum,-0.18208134,0.0,0.0
Alloprevotella,-0.7291884,0.26330838,2.2901242
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,0.0,0.0,1.3676226
Alloscardovia,0.0,-0.10241558,-2.4841952
alphaI.cluster,0.20370097,0.0,0.0
Anaerobiospirillum,-0.68262464,0.0,0.0
Anaerococcus,1.8876361,0.0,-2.2763543
Anaerofilum,2.1402068,-0.85284424,-1.6638023
Anaerofustis,3.516821,0.9056842,0.69096124
Anaeroglobus,3.656362,-0.5461254,0.0
Anaerolineaceae.UCG.001,0.0,1.5693023,0.0
Anaeromyxobacter,0.24617708,0.0,0.0
Anaeroplasma,-2.1170933,0.38161823,0.0
Anaerosphaera,4.7873735,1.6483793,0.0
Anaerosporobacter,0.30742803,0.0,-0.59789693
Anaerostignum,3.9405735,0.8361015,2.6311684
Anaerostipes,0.5922973,0.21924238,-0.55584675
Anaerotruncus,2.5987465,-1.166531,-1.8383881
Anaerovibrio,-2.6997452,0.0,0.0
Anaerovorax,2.9482825,-0.64750373,-0.09215972
Angelakisella,0.8068074,-0.5777407,-0.75005686
Anoxybacillus,0.3654621,0.0,0.0
Aquabacterium,-2.3268275,0.0,0.0
Aquamonas,0.49433026,0.0,0.0
Aquicella,0.15299325,0.0,0.0
Arcanobacterium,0.43143404,0.0,-1.6081208
Arcobacter,2.3820176,0.18478924,0.0
Asaccharospora,2.611706,0.0,3.1135476
ASF356,0.5923362,0.0,0.0
Asteroleplasma,-1.4572197,-1.7202716,0.0
Asticcacaulis,0.53867143,0.0,0.0
Atlantibacter,0.48435396,0.0,0.0
Atopobium,-0.10345309,0.0,-2.3384008
Azospira,-1.6695088,0.0,0.0
Bacillus,4.123135,0.0,-1.6224943
Bacteriovorax,0.22037642,0.0,0.0
Bacteroides,0.32286197,-0.38979533,-0.0879582
Barnesiella,1.2709084,0.0713279,-0.05647081
Basfia,0.38184878,0.0,0.0
Bdellovibrio,-0.00036241068,0.0,0.0
Bifidobacterium,0.4660506,-0.7505664,-0.7870806
Bilophila,0.6790294,-0.47220534,0.36512724
Blastococcus,0.2985423,0.0,0.0
Blastomonas,-2.4892054,0.0,0.0
Blautia,0.68864703,0.52227104,0.15148209
Bosea,3.0002024,0.0,0.7135918
Brachybacterium,-0.30661565,0.0,0.0
Brachyspira,0.52812266,0.0,0.0
Bradyrhizobium,2.5269997,1.90528,0.0
Brevibacterium,2.5871317,2.0703957,-1.1194434
Brevundimonas,0.8186877,0.0,-0.18940602
Breznakia,0.24302207,0.0,0.0
Brucella,3.4441514,0.0,-1.1762984
Bryobacter,0.4070002,0.0,0.0
Bulleidia,0.08907358,0.0,0.0
Burkholderia.Caballeronia.Paraburkholderia,2.1142268,0.0,1.8531579
Butyricicoccus,0.3886671,-0.5070217,-0.58405656
Butyricimonas,1.0169779,-0.76064086,0.4965396
Butyrivibrio,-2.3936133,0.0,0.0
CAG.352,0.017591383,1.0642085,0.09636637
CAG.56,0.27630788,0.2549902,0.7116986
CAG.873,-1.7846936,0.0,0.0
