,10959,14130,14669
X.Anaerorhabdus..furcosa.group,0.0,0.0,-2.3024259
X.Aquaspirillum..polymorphum.group,-0.36619622,0.0,0.0
X.Bacteroides..pectinophilus.group,-4.2258177,-3.1410165,0.0
X.Clostridium..innocuum.group,3.1010945,3.0275383,2.7970147
X.Eubacterium..brachy.group,2.746148,-0.20019947,-1.5122533
X.Eubacterium..eligens.group,0.16047046,0.5458171,1.1035217
X.Eubacterium..fissicatena.group,0.91415936,-0.2178786,-1.6343861
X.Eubacterium..hallii.group,-0.3506901,0.365736,-0.54875547
X.Eubacterium..nodatum.group,2.768624,0.026917249,-1.6011771
X.Eubacterium..oxidoreducens.group,-4.065678,0.0,-1.5071638
X.Eubacterium..ruminantium.group,0.30282018,1.4921545,1.8121961
X.Eubacterium..saphenum.group,-2.6013844,0.0,0.0
X.Eubacterium..siraeum.group,0.4692751,1.1675646,1.3450704
X.Eubacterium..ventriosum.group,1.6447545,1.7779893,1.7415646
X.Eubacterium..xylanophilum.group,-0.46549052,1.2345741,-0.3841199
X.Ruminococcus..gauvreauii.group,0.79601777,2.1107843,1.5129037
X.Ruminococcus..gnavus.group,0.7199767,-0.10043983,0.80646515
X.Ruminococcus..torques.group,0.7336401,0.49985027,1.0240747
X28.4,-2.3308501,0.0,0.0
A2,-1.3715574,0.0,0.0
Abiotrophia,-1.6105702,-1.003758,0.0
Acetanaerobacterium,1.9491366,-0.62015086,-2.119639
Acetatifactor,-1.1505985,0.0,0.0
Acetobacter,2.6144397,-1.3830994,0.0
Achromobacter,-2.1223564,0.0,-3.6285245
Acidaminococcus,3.415952,-0.108510666,2.1994793
Acidibacter,-0.9540418,0.0,0.0
Acinetobacter,1.2782592,1.2334391,2.2644286
Actimicrobium,0.0,0.0,-3.0511615
Actinobacillus,-0.37055686,-0.6526522,0.0
Actinomyces,0.41929436,0.1447097,-1.4516248
Adlercreutzia,4.5821214,0.45250997,-0.99330765
ADurb.Bin063.1,1.1454024,-1.6385496,0.0
Aeribacillus,-1.7076437,0.0,0.0
Aerococcus,-1.964956,0.0,-3.2796214
Aeromonas,-2.436227,0.0,-3.6494882
Aerosphaera,-1.0775944,0.0,-3.4984913
Agathobacter,0.61244345,1.194627,1.231219
Aggregatibacter,1.5884324,0.84539026,2.2784111
Akkermansia,-0.07293359,-0.8112668,0.015786463
Alcaligenes,0.9389974,0.0,0.0
Alishewanella,1.2291209,0.0,0.0
Alistipes,0.24314055,-0.70503855,0.030958606
Alkanibacter,-0.22208884,0.0,0.0
Allisonella,2.5249016,1.8316017,4.8092847
Allobaculum,-2.734783,0.0,0.0
Alloprevotella,-1.3770735,-0.16176459,2.3957245
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,0.0,0.0,-1.3686066
Alloscardovia,0.0,-2.0839946,-2.470317
alphaI.cluster,-0.37174544,0.0,0.0
Anaerobiospirillum,-2.562818,0.0,0.0
Anaerococcus,0.1485289,0.0,-3.911652
Anaerofilum,1.7968615,-0.90063775,-1.1064302
Anaerofustis,1.0558435,-1.0528073,-0.95471853
Anaeroglobus,-0.6612043,-3.3588192,0.0
Anaerolineaceae.UCG.001,0.0,-1.5425252,0.0
Anaeromyxobacter,-0.3180449,0.0,0.0
Anaeroplasma,-4.536336,-2.4675384,0.0
Anaerosphaera,-1.982433,-1.6277187,0.0
Anaerosporobacter,-2.2436104,0.0,-3.631691
Anaerostignum,1.4427512,-1.1199238,1.0024762
Anaerostipes,-0.045509394,-0.14348067,-0.4015085
Anaerotruncus,2.8180213,-0.6706792,-0.834304
Anaerovibrio,-4.641376,0.0,0.0
Anaerovorax,2.6524749,-0.66916615,0.61050665
Angelakisella,1.2956237,0.19549954,0.58009225
Anoxybacillus,1.7969793,0.0,0.0
Aquabacterium,-3.5046036,0.0,0.0
Aquamonas,-1.4966875,0.0,0.0
Aquicella,-0.43676904,0.0,0.0
Arcanobacterium,-1.4654357,0.0,-3.3248093
Arcobacter,0.80659735,-2.170976,0.0
Asaccharospora,-1.9530054,0.0,-1.5150193
ASF356,0.9386324,0.0,0.0
Asteroleplasma,-3.81703,-3.921595,0.0
Asticcacaulis,-0.21541694,0.0,0.0
Atlantibacter,-1.184823,0.0,0.0
Atopobium,-2.6279309,0.0,-3.933299
Azospira,-3.4612823,0.0,0.0
Bacillus,3.2280493,0.0,-3.7710152
Bacteriovorax,-0.4747857,0.0,0.0
Bacteroides,0.6878543,0.24786964,1.0656615
Barnesiella,0.9456652,0.009955296,0.42020702
Basfia,1.9719539,0.0,0.0
Bdellovibrio,0.13613693,0.0,0.0
Bifidobacterium,-0.00957212,-0.9476101,-0.46005547
Bilophila,0.32428172,-0.5550707,0.80705404
Blastococcus,-1.1094869,0.0,0.0
Blastomonas,-1.9523755,0.0,0.0
Blautia,0.44260857,0.5503096,0.69051856
Bosea,-1.3067709,0.0,-3.1942005
Brachybacterium,-0.29070282,0.0,0.0
Brachyspira,-0.16071558,0.0,0.0
Bradyrhizobium,-1.7673947,-1.4109429,0.0
Brevibacterium,4.1529026,3.4871898,1.9529
Brevundimonas,-1.4888507,0.0,-3.3933218
Breznakia,-1.4606627,0.0,0.0
Brucella,0.6667931,0.0,-3.8006496
Bryobacter,-0.12172558,0.0,0.0
Bulleidia,1.5627769,0.0,0.0
Burkholderia.Caballeronia.Paraburkholderia,-2.1826236,0.0,-1.5246042
Butyricicoccus,-0.31321785,-0.9286248,-0.48092642
Butyricimonas,1.2495934,-0.2642755,1.5217401
Butyrivibrio,-4.522703,0.0,0.0
CAG.352,0.16640948,1.4587202,1.0577728
CAG.56,1.4436545,1.6846727,2.6680284
CAG.873,-3.9716702,0.0,0.0
Caldicellulosiruptor,-2.487183,0.0,0.0
